symptom_1,symptom_2,symptom_3,symptom_4,disease,ayurvedic_remedy,recommended_herbs,diet_recommendation
cough,sneezing,congestion,headache,Cold,Trikatu churna and steam therapy,Trikatu;Tulsi;Black Pepper,Avoid cold water completely
runny_nose,watery_eyes,fatigue,sneezing,Cold,Tulsi ginger kadha twice daily,Tulsi;Ginger;Lemon,Warm khichdi and herbal tea
congestion,sore_throat,sneezing,body_ache,Cold,Tribhuvankirti ras with ginger juice,Tribhuvankirti;Ginger;Tulsi,Warm soups and steamed vegetables
runny_nose,cough,chills,weakness,Cold,Kantakari ghrita with warm milk,Kantakari;Pippali;Ginger,Hot fluids and light meals
sneezing,headache,congestion,fatigue,Cold,Mahalaxmi vilas ras tablets,Mahalaxmi Vilas;Tulsi;Ginger,Warm dal soup
sore_throat,runny_nose,sneezing,cough,Cold,Khadiradi vati with honey,Khadiradi;Mulethi;Tulsi,Avoid fried food and eat warm meals
congestion,watery_eyes,body_ache,sneezing,Cold,Anu taila nasya and steam,Anu Taila;Eucalyptus;Tulsi,Hot ginger lemon water
sneezing,fatigue,chills,runny_nose,Cold,Giloy tulsi kadha,Giloy;Tulsi;Ginger,Warm food and avoid cold items
headache,nausea,sensitivity_to_light,dizziness,Migraine,Brahmi herbal tea and proper rest,Brahmi;Ashwagandha;Shankhpushpi,Avoid spicy and oily food
headache,blurred_vision,nausea,neck_stiffness,Migraine,Shirashooladi vajra ras with milk,Shirashooladi;Brahmi;Jatamansi,Light meals and avoid screen time
throbbing_headache,sensitivity_to_light,vomiting,fatigue,Migraine,Pathyadi kwath and nasya therapy,Pathyadi;Brahmi;Ashwagandha,Avoid cheese and fermented food
headache,dizziness,irritability,nausea,Migraine,Brahmi ghritam and shirodhara therapy,Brahmi;Shankhpushpi;Jatamansi,Avoid caffeine and chocolate
sensitivity_to_light,headache,neck_stiffness,blurred_vision,Migraine,Godanti bhasma with honey,Godanti;Brahmi;Vacha,Cool and calming foods
nausea,throbbing_headache,fatigue,irritability,Migraine,Shirashuladi ras and rest in dark room,Shirashuladi;Jatamansi;Ashwagandha,Reduce salt and avoid preservatives
headache,vomiting,dizziness,sensitivity_to_light,Migraine,Brahmi vati with warm milk,Brahmi;Shankhpushpi;Guduchi,Light sattvic diet
blurred_vision,nausea,headache,stress,Migraine,Saraswatarishta after meals,Saraswatarishta;Brahmi;Ashwagandha,Avoid spicy food and late nights
throbbing_headache,neck_stiffness,sensitivity_to_light,fatigue,Migraine,Chandanadi taila for head massage,Chandanadi;Brahmi;Jatamansi,Cool foods and adequate hydration
headache,irritability,nausea,dizziness,Migraine,Manasamitra vatakam tablets,Manasamitra;Brahmi;Vacha,Fresh fruits and light meals
headache,sensitivity_to_light,vomiting,neck_stiffness,Migraine,Pathyadi kadha and shirodhara,Pathyadi;Jatamansi;Brahmi,Avoid processed and fried food
throbbing_headache,nausea,blurred_vision,fatigue,Migraine,Godanti mishran with warm milk,Godanti;Brahmi;Ashwagandha,Reduce screen time and eat light
dizziness,headache,stress,sensitivity_to_light,Migraine,Brahmi ghritam with warm water,Brahmi;Shankhpushpi;Jatamansi,Avoid loud noise and rest well
headache,neck_stiffness,irritability,vomiting,Migraine,Shirashooladi vajra ras tablets,Shirashooladi;Brahmi;Vacha,Cool pitta-pacifying foods
nausea,sensitivity_to_light,throbbing_headache,stress,Migraine,Saraswatarishta and nasya therapy,Saraswatarishta;Jatamansi;Brahmi,Avoid coffee and eat sattvic food
headache,dizziness,fatigue,blurred_vision,Migraine,Brahmi vati and shiroabhyanga,Brahmi;Ashwagandha;Bala,Fresh vegetable juices and rest
throbbing_headache,vomiting,neck_stiffness,nausea,Migraine,Chandanadi taila head massage daily,Chandanadi;Brahmi;Jatamansi,Avoid sour food and bakery items
irritability,headache,sensitivity_to_light,dizziness,Migraine,Manasamitra vatakam with milk,Manasamitra;Brahmi;Shankhpushpi,Light dinner and early sleep
headache,nausea,fatigue,neck_stiffness,Migraine,Pathyadi kwath twice daily,Pathyadi;Brahmi;Guduchi,Avoid triggers like bright lights
blurred_vision,throbbing_headache,stress,vomiting,Migraine,Godanti bhasma and brahmi tea,Godanti;Brahmi;Jatamansi,Pitta-calming diet with ghee
headache,sensitivity_to_light,fatigue,irritability,Migraine,Shirashooladi ras and rest,Shirashooladi;Brahmi;Ashwagandha,Cool foods and reduce stress
throbbing_headache,nausea,dizziness,neck_stiffness,Migraine,Brahmi ghritam nasya therapy,Brahmi;Vacha;Jatamansi,Sattvic meals thrice daily
headache,vomiting,stress,blurred_vision,Migraine,Chandanadi lepam on forehead,Chandanadi;Brahmi;Shankhpushpi,Fresh fruits and light food
sensitivity_to_light,headache,fatigue,dizziness,Migraine,Manasamitra vatakam and brahmi,Manasamitra;Brahmi;Jatamansi,Avoid late night screen usage
throbbing_headache,irritability,nausea,neck_stiffness,Migraine,Godanti bhasma with honey,Godanti;Brahmi;Ashwagandha,Cool buttermilk and light meals
acidity,heartburn,sour_taste,belching,Acidity,Avipattikar churna with cold milk,Avipattikar;Shatavari;Yashtimadhu,Avoid spicy oily and fried food
heartburn,nausea,bloating,acidity,Acidity,Kamdudha ras with cold water,Kamdudha;Praval Pishti;Mukta Pishti,Eat cooling foods like cucumber
sour_taste,burning_sensation,belching,loss_of_appetite,Acidity,Sukumara kashayam before meals,Sukumara;Amalaki;Shatavari,Avoid citrus and eat bland food
acidity,stomach_pain,heartburn,nausea,Acidity,Avipattikar churna twice daily,Avipattikar;Guduchi;Yashtimadhu,Small frequent meals
bloating,heartburn,sour_taste,fatigue,Acidity,Praval pishti with honey,Praval Pishti;Shatavari;Amalaki,Cool coconut water and rice
burning_sensation,acidity,belching,headache,Acidity,Kamdudha ras and cold milk,Kamdudha;Mukta Pishti;Guduchi,Avoid tea coffee and alcohol
heartburn,loss_of_appetite,nausea,acidity,Acidity,Yashtimadhu churna with cold water,Yashtimadhu;Shatavari;Amalaki,Eat on time and avoid fasting
sour_taste,stomach_pain,bloating,belching,Acidity,Avipattikar with buttermilk,Avipattikar;Jeera;Saunf,Light meals with curd rice
acidity,nausea,burning_sensation,fatigue,Acidity,Sutshekhar ras with cold water,Sutshekhar;Praval Pishti;Shatavari,Avoid pickles and fermented food
heartburn,headache,sour_taste,bloating,Acidity,Kamdudha ras tablets twice daily,Kamdudha;Amalaki;Yashtimadhu,Cool buttermilk after meals
acidity,belching,stomach_pain,burning_sensation,Acidity,Praval pishti with warm water,Praval Pishti;Shatavari;Guduchi,Plain rice and steamed vegetables
loss_of_appetite,heartburn,nausea,acidity,Acidity,Sukumara kashayam before food,Sukumara;Amalaki;Yashtimadhu,Avoid spicy food completely
bloating,sour_taste,acidity,headache,Acidity,Avipattikar churna with cold milk,Avipattikar;Shatavari;Mukta Pishti,Eat meals at fixed times
burning_sensation,stomach_pain,heartburn,fatigue,Acidity,Sutshekhar ras and cooling diet,Sutshekhar;Praval;Guduchi,Fresh coconut water daily
acidity,nausea,sour_taste,loss_of_appetite,Acidity,Dhatri lauha with honey,Dhatri;Amalaki;Shatavari,Avoid heavy dinner
bloating,indigestion,loss_of_appetite,nausea,Indigestion,Hingvastak churna with warm water before meals,Hingvastak;Ajwain;Jeera,Eat small frequent meals and avoid heavy food
stomach_pain,gas,bloating,heaviness,Indigestion,Lavanbhaskar churna with buttermilk,Lavanbhaskar;Ajwain;Saunf,Light meals with ginger and cumin
nausea,loss_of_appetite,heaviness,belching,Indigestion,Chitrakadi vati before meals,Chitrakadi;Pippali;Ginger,Avoid raw food and eat cooked meals
indigestion,bloating,stomach_pain,fatigue,Indigestion,Agnitundi vati with warm water,Agnitundi;Ajwain;Hing,Small portions and no late eating
gas,heaviness,nausea,loss_of_appetite,Indigestion,Hingvastak churna and warm water,Hingvastak;Ginger;Jeera,Avoid beans and heavy grains
belching,stomach_pain,bloating,indigestion,Indigestion,Lavanbhaskar churna after meals,Lavanbhaskar;Saunf;Ajwain,Light khichdi and buttermilk
loss_of_appetite,heaviness,nausea,gas,Indigestion,Chitrakadi vati with ginger juice,Chitrakadi;Trikatu;Pippali,Warm cooked food only
bloating,fatigue,indigestion,stomach_pain,Indigestion,Deepan pachan treatment with ajwain,Ajwain;Hing;Jeera,Avoid cold drinks and heavy meals
nausea,belching,gas,heaviness,Indigestion,Agnitundi vati twice daily,Agnitundi;Pippali;Ginger,Small meals at regular intervals
stomach_pain,loss_of_appetite,bloating,indigestion,Indigestion,Shankha vati with warm water,Shankha;Ajwain;Hing,Avoid dairy and oily food
gas,nausea,fatigue,heaviness,Indigestion,Hingvastak with lukewarm water,Hingvastak;Jeera;Ajwain,Light soups and steamed vegetables
bloating,stomach_pain,belching,loss_of_appetite,Indigestion,Chitrakadi vati and ginger tea,Chitrakadi;Ginger;Pippali,Avoid overeating
indigestion,heaviness,nausea,gas,Indigestion,Lavanbhaskar churna daily,Lavanbhaskar;Saunf;Hing,Eat mindfully and chew well
stomach_pain,fatigue,bloating,belching,Indigestion,Agnitundi ras with buttermilk,Agnitundi;Ajwain;Ginger,Small warm meals
loss_of_appetite,gas,heaviness,nausea,Indigestion,Shankha bhasma with honey,Shankha;Pippali;Jeera,Avoid raw salads and cold items
skin_rash,itching,redness,swelling,Skin Allergy,Khadirarishta and neem paste application,Khadirarishta;Neem;Manjistha,Avoid spicy food and allergens
itching,dry_skin,redness,bumps,Skin Allergy,Mahamanjisthadi kashayam twice daily,Mahamanjisthadi;Neem;Turmeric,Drink neem water and eat bitter gourd
redness,skin_rash,burning_sensation,itching,Skin Allergy,Gandhak rasayana and neem oil application,Gandhak;Neem;Haridra,Avoid dairy and non-veg food
swelling,bumps,itching,skin_rash,Skin Allergy,Arogyavardhini vati with water,Arogyavardhini;Neem;Manjistha,Eat cooling foods like cucumber
dry_skin,redness,itching,flaking,Skin Allergy,Kumkumadi taila application externally,Kumkumadi;Manjistha;Sariva,Hydrating foods and avoid preservatives
skin_rash,burning_sensation,swelling,redness,Skin Allergy,Raktamokshana therapy and neem oil,Neem;Khadira;Sariva,Bitter vegetables and leafy greens
itching,bumps,dry_skin,skin_rash,Skin Allergy,Haridra capsules twice daily,Haridra;Neem;Manjistha,Avoid seafood and fermented items
redness,flaking,burning_sensation,itching,Skin Allergy,Mahamanjisthadi kashayam with neem,Mahamanjisthadi;Sariva;Turmeric,Cooling diet with aloe vera juice
skin_rash,swelling,dry_skin,bumps,Skin Allergy,Khadirarishta and arogyavardhini,Khadirarishta;Arogyavardhini;Neem,Avoid junk food and eat fruits
itching,redness,burning_sensation,flaking,Skin Allergy,Gandhak rasayana tablets,Gandhak;Haridra;Neem,Light meals and coconut water
bumps,skin_rash,swelling,dry_skin,Skin Allergy,Panchatikta ghritam internally,Panchatikta;Neem;Manjistha,Avoid alcohol and fried food
redness,itching,skin_rash,burning_sensation,Skin Allergy,Haridra khand with milk,Haridra;Neem;Sariva,Avoid hot spicy food
dry_skin,flaking,itching,bumps,Skin Allergy,Kumkumadi oil and neem paste,Kumkumadi;Manjistha;Turmeric,Drink plenty of water
swelling,burning_sensation,redness,skin_rash,Skin Allergy,Arogyavardhini vati and neem wash,Arogyavardhini;Neem;Khadira,Eat bland cooling food
itching,skin_rash,dry_skin,redness,Skin Allergy,Mahamanjisthadi kashayam daily,Mahamanjisthadi;Neem;Guduchi,Green leafy diet
anxiety,tension,irritability,difficulty_concentrating,Stress,Ashwagandha churna with warm milk before bed,Ashwagandha;Brahmi;Jatamansi,Warm milk with nutmeg before sleep
insomnia,fatigue,irritability,headache,Stress,Brahmi vati and shirodhara therapy,Brahmi;Shankhpushpi;Ashwagandha,Avoid caffeine and eat calming foods
tension,anxiety,muscle_tension,restlessness,Stress,Saraswatarishta after meals,Saraswatarishta;Ashwagandha;Jatamansi,Regular meal times with sattvic food
difficulty_concentrating,mood_swings,fatigue,anxiety,Stress,Manasamitra vatakam with milk,Manasamitra;Brahmi;Shankhpushpi,Fresh fruits and whole grains
irritability,headache,insomnia,tension,Stress,Ashwagandha ksheera paka at night,Ashwagandha;Jatamansi;Vacha,Avoid processed food and sugar
restlessness,anxiety,muscle_tension,difficulty_concentrating,Stress,Brahmi ghritam and meditation,Brahmi;Ashwagandha;Shankhpushpi,Regular warm meals
mood_swings,fatigue,irritability,headache,Stress,Saraswatarishta and pranayama,Saraswatarishta;Brahmi;Jatamansi,Nuts and seeds with warm milk
tension,insomnia,anxiety,restlessness,Stress,Ashwagandha with warm water at night,Ashwagandha;Tagara;Jatamansi,Avoid late dinners
muscle_tension,difficulty_concentrating,mood_swings,fatigue,Stress,Manasamitra vatakam daily,Manasamitra;Brahmi;Ashwagandha,Sattvic balanced meals
headache,anxiety,irritability,insomnia,Stress,Brahmi vati and abhyanga massage,Brahmi;Shankhpushpi;Jatamansi,Warm turmeric milk before bed
restlessness,tension,mood_swings,muscle_tension,Stress,Saraswatarishta with water,Saraswatarishta;Ashwagandha;Vacha,Regular exercise and light food
fatigue,difficulty_concentrating,anxiety,headache,Stress,Ashwagandha churna with ghee,Ashwagandha;Brahmi;Guduchi,Avoid stimulants
irritability,insomnia,restlessness,tension,Stress,Jatamansi churna at bedtime,Jatamansi;Ashwagandha;Tagara,Calming herbal teas
mood_swings,muscle_tension,fatigue,anxiety,Stress,Brahmi ghritam with warm milk,Brahmi;Shankhpushpi;Ashwagandha,Fresh home-cooked food
difficulty_concentrating,headache,insomnia,irritability,Stress,Manasamitra vatakam and nasya,Manasamitra;Brahmi;Jatamansi,Avoid screen time before sleep
anxiety,restlessness,tension,mood_swings,Stress,Saraswatarishta daily,Saraswatarishta;Ashwagandha;Shankhpushpi,Eat warm nourishing food
fatigue,insomnia,muscle_tension,headache,Stress,Ashwagandha with warm milk,Ashwagandha;Jatamansi;Brahmi,Regular daily routine
irritability,difficulty_concentrating,anxiety,restlessness,Stress,Brahmi vati tablets twice daily,Brahmi;Shankhpushpi;Vacha,Calming sattvic diet
tension,mood_swings,headache,fatigue,Stress,Jatamansi churna with honey,Jatamansi;Ashwagandha;Brahmi,Fresh fruits and vegetables
insomnia,anxiety,muscle_tension,irritability,Stress,Ashwagandharishta after meals,Ashwagandharishta;Jatamansi;Brahmi,Avoid heavy dinner
difficulty_sleeping,restlessness,anxiety,fatigue,Insomnia,Ashwagandha ksheera paka before bed,Ashwagandha;Tagara;Jatamansi,Warm milk with nutmeg and saffron
insomnia,irritability,difficulty_concentrating,restlessness,Insomnia,Brahmi vati and shirodhara therapy,Brahmi;Shankhpushpi;Ashwagandha,Avoid caffeine after noon
difficulty_sleeping,racing_thoughts,fatigue,headache,Insomnia,Jatamansi churna with warm milk,Jatamansi;Tagara;Vacha,Light dinner two hours before bed
restlessness,anxiety,difficulty_sleeping,mood_swings,Insomnia,Nidrari ras and foot massage with oil,Nidrari;Ashwagandha;Tagara,Avoid screen time before sleep
insomnia,fatigue,irritability,difficulty_concentrating,Insomnia,Saraswatarishta and meditation,Saraswatarishta;Brahmi;Jatamansi,Calming herbal teas before bed
racing_thoughts,difficulty_sleeping,restlessness,anxiety,Insomnia,Ashwagandha churna and abhyanga,Ashwagandha;Tagara;Jatamansi,Warm golden milk at night
headache,insomnia,mood_swings,fatigue,Insomnia,Brahmi ghritam before sleep,Brahmi;Shankhpushpi;Ashwagandha,Sattvic light dinner
difficulty_sleeping,difficulty_concentrating,irritability,restlessness,Insomnia,Jatamansi with warm water at night,Jatamansi;Tagara;Ashwagandha,Avoid spicy food at night
anxiety,racing_thoughts,insomnia,headache,Insomnia,Manasamitra vatakam at bedtime,Manasamitra;Brahmi;Jatamansi,Warm milk with cardamom
fatigue,restlessness,difficulty_sleeping,mood_swings,Insomnia,Ashwagandha with warm milk,Ashwagandha;Jatamansi;Sarpagandha,Regular sleep schedule
insomnia,headache,anxiety,difficulty_concentrating,Insomnia,Nidrari ras tablets at night,Nidrari;Tagara;Brahmi,Chamomile tea before bed
difficulty_sleeping,irritability,racing_thoughts,fatigue,Insomnia,Saraswatarishta after dinner,Saraswatarishta;Jatamansi;Ashwagandha,Light meals and early dinner
restlessness,mood_swings,insomnia,anxiety,Insomnia,Jatamansi churna with ghee,Jatamansi;Tagara;Vacha,Avoid caffeine and alcohol
difficulty_sleeping,headache,fatigue,restlessness,Insomnia,Brahmi vati and shirodhara,Brahmi;Ashwagandha;Shankhpushpi,Warm baths before sleep
insomnia,racing_thoughts,irritability,difficulty_concentrating,Insomnia,Ashwagandha ksheera paka,Ashwagandha;Tagara;Jatamansi,Avoid heavy meals at night
joint_pain,stiffness,swelling,difficulty_moving,Joint Pain,Maharasnadi kashayam and joint massage with oil,Maharasnadi;Ashwagandha;Guggulu,Warm food and avoid cold items
stiffness,joint_pain,cracking_sound,pain_while_walking,Joint Pain,Yogaraja guggulu with warm water,Yogaraja;Guggulu;Rasna,Anti-inflammatory diet with turmeric
swelling,joint_pain,redness,difficulty_moving,Joint Pain,Dashamoola kashayam and warm oil massage,Dashamoola;Nirgundi;Ashwagandha,Avoid sour and cold foods
joint_pain,muscle_pain,stiffness,fatigue,Joint Pain,Ashwagandha churna with warm milk,Ashwagandha;Bala;Guggulu,Warm soups with turmeric and ginger
cracking_sound,pain_while_walking,joint_pain,swelling,Joint Pain,Maharasnadi kwath and guggulu,Maharasnadi;Guggulu;Eranda,Avoid cold and damp foods
difficulty_moving,stiffness,joint_pain,redness,Joint Pain,Kottamchukkadi taila massage,Kottamchukkadi;Nirgundi;Rasna,Warm foods with ginger
joint_pain,fatigue,muscle_pain,cracking_sound,Joint Pain,Rasnasaptak kashayam daily,Rasnasaptak;Ashwagandha;Guggulu,Avoid excessive exercise
stiffness,swelling,pain_while_walking,joint_pain,Joint Pain,Yogaraja guggulu tablets,Yogaraja;Rasna;Eranda,Anti-inflammatory herbs in cooking
joint_pain,redness,difficulty_moving,muscle_pain,Joint Pain,Dashamoola kwath and abhyanga,Dashamoola;Nirgundi;Bala,Warm cooked meals with ghee
fatigue,cracking_sound,stiffness,joint_pain,Joint Pain,Ashwagandha bala taila massage,Ashwagandha;Bala;Guggulu,Include turmeric in daily diet
joint_pain,pain_while_walking,swelling,stiffness,Joint Pain,Maharasnadi kashayam twice daily,Maharasnadi;Guggulu;Rasna,Avoid cold water and raw salads
muscle_pain,redness,joint_pain,difficulty_moving,Joint Pain,Kottamchukkadi taila and guggulu,Kottamchukkadi;Guggulu;Nirgundi,Warm food with cumin and turmeric
stiffness,fatigue,cracking_sound,joint_pain,Joint Pain,Rasnasaptak kwath daily,Rasnasaptak;Ashwagandha;Bala,Light exercise and warm meals
joint_pain,swelling,muscle_pain,pain_while_walking,Joint Pain,Yogaraja guggulu with warm milk,Yogaraja;Guggulu;Rasna,Reduce sour food intake
difficulty_moving,redness,stiffness,joint_pain,Joint Pain,Dashamoola and nirgundi oil,Dashamoola;Nirgundi;Eranda,Avoid heavy meals at night
constipation,hard_stool,bloating,abdominal_pain,Constipation,Triphala churna with warm water at bedtime,Triphala;Haritaki;Isabgol,High fiber diet with fruits and vegetables
hard_stool,straining,bloating,gas,Constipation,Abhayarishta after meals,Abhayarishta;Haritaki;Trivrut,Drink warm water first thing in morning
abdominal_pain,constipation,heaviness,loss_of_appetite,Constipation,Panchasakar churna at bedtime,Panchasakar;Senna;Haritaki,Include papaya and figs in diet
gas,hard_stool,bloating,constipation,Constipation,Triphala with warm milk at night,Triphala;Isabgol;Castor oil,Eat more green vegetables and whole grains
straining,abdominal_pain,hard_stool,heaviness,Constipation,Eranda taila with warm milk at night,Eranda;Haritaki;Triphala,Avoid refined flour and maida products
bloating,constipation,gas,loss_of_appetite,Constipation,Abhayarishta with equal water after food,Abhayarishta;Haritaki;Saunf,Fiber-rich meals and lukewarm water
constipation,heaviness,hard_stool,abdominal_pain,Constipation,Panchasakar churna with warm water,Panchasakar;Trivrut;Haritaki,Prunes and soaked raisins daily
hard_stool,gas,straining,bloating,Constipation,Triphala churna twice daily,Triphala;Isabgol;Haritaki,Drink 8-10 glasses of water daily
loss_of_appetite,constipation,abdominal_pain,heaviness,Constipation,Eranda taila with warm milk,Eranda;Triphala;Haritaki,Whole grain bread and oats
bloating,hard_stool,gas,straining,Constipation,Avipattikar churna at bedtime,Avipattikar;Triphala;Senna,Fresh fruits especially papaya
constipation,abdominal_pain,heaviness,gas,Constipation,Panchasakar churna daily,Panchasakar;Haritaki;Trivrut,Include flaxseeds in diet
hard_stool,loss_of_appetite,bloating,straining,Constipation,Abhayarishta and triphala combination,Abhayarishta;Triphala;Isabgol,High fiber vegetables and fruits
gas,constipation,abdominal_pain,hard_stool,Constipation,Triphala with lukewarm water at night,Triphala;Haritaki;Bibhitaki,Avoid junk food and eat natural
straining,heaviness,bloating,constipation,Constipation,Eranda oil with warm water,Eranda;Haritaki;Triphala,Regular meals at fixed times
loss_of_appetite,hard_stool,abdominal_pain,gas,Constipation,Panchasakar churna with honey,Panchasakar;Senna;Haritaki,Soaked almonds and figs daily
persistent_cough,sore_throat,chest_tightness,phlegm,Cough,Sitopaladi churna with honey three times daily,Sitopaladi;Vasaka;Kantakari,Avoid cold drinks and ice cream
dry_cough,throat_irritation,chest_tightness,difficulty_breathing,Cough,Kantakari avaleha with warm milk,Kantakari;Vasaka;Yashtimadhu,Warm fluids and honey ginger tea
